"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 04, 2021","2,673.2","2,719.2","2,719.2","2,621.0","2.52M","-2.11%"
"Oct 01, 2021","2,730.9","2,688.9","2,738.2","2,681.5","1.77M","2.14%"
"Sep 30, 2021","2,673.5","2,685.2","2,710.9","2,671.1","1.90M","-0.50%"
"Sep 29, 2021","2,687.1","2,739.6","2,743.0","2,677.3","1.54M","-1.09%"
"Sep 28, 2021","2,716.6","2,773.1","2,781.9","2,707.2","2.24M","-3.72%"
"Sep 27, 2021","2,821.4","2,816.1","2,838.8","2,801.4","1.08M","-0.80%"
"Sep 24, 2021","2,844.3","2,810.8","2,846.6","2,804.8","1.15M","0.71%"
"Sep 23, 2021","2,824.3","2,819.8","2,833.9","2,808.0","1.04M","0.66%"
"Sep 22, 2021","2,805.7","2,786.1","2,817.7","2,771.0","1.25M","0.90%"
"Sep 21, 2021","2,780.7","2,795.0","2,800.2","2,765.6","1.26M","0.23%"
"Sep 20, 2021","2,774.4","2,763.2","2,780.0","2,726.4","2.26M","-1.48%"
"Sep 17, 2021","2,816.0","2,860.6","2,869.0","2,809.4","2.67M","-1.96%"
"Sep 16, 2021","2,872.2","2,879.0","2,886.0","2,848.0","1.28M","-0.57%"
"Sep 15, 2021","2,888.6","2,855.4","2,889.0","2,826.9","1.19M","1.32%"
"Sep 14, 2021","2,850.9","2,859.9","2,867.3","2,835.0","963.68K","0.15%"
"Sep 13, 2021","2,846.6","2,839.0","2,859.0","2,825.0","1.06M","1.03%"
"Sep 10, 2021","2,817.5","2,884.3","2,894.4","2,814.8","1.84M","-1.86%"
"Sep 09, 2021","2,870.8","2,876.8","2,886.2","2,863.6","760.70K","-0.10%"
"Sep 08, 2021","2,873.8","2,882.0","2,888.0","2,860.0","913.80K","-0.41%"
"Sep 07, 2021","2,885.6","2,876.7","2,891.3","2,872.4","1.00M","0.38%"
"Sep 03, 2021","2,874.8","2,861.6","2,883.1","2,848.0","992.72K","0.32%"
"Sep 02, 2021","2,865.7","2,904.3","2,910.4","2,863.7","1.61M","-1.33%"
"Sep 01, 2021","2,904.3","2,900.0","2,925.1","2,897.7","1.10M","0.36%"
"Aug 31, 2021","2,893.9","2,902.9","2,903.4","2,885.6","1.11M","0.07%"
"Aug 30, 2021","2,891.8","2,888.0","2,919.4","2,883.3","1.21M","0.41%"
"Aug 27, 2021","2,880.1","2,833.1","2,890.3","2,829.9","1.44M","1.81%"
"Aug 26, 2021","2,828.8","2,835.0","2,848.4","2,827.1","1.03M","-0.45%"
"Aug 25, 2021","2,841.6","2,832.5","2,843.8","2,827.5","789.15K","0.58%"
"Aug 24, 2021","2,825.2","2,812.2","2,841.6","2,806.8","960.76K","0.87%"
"Aug 23, 2021","2,800.8","2,759.4","2,817.5","2,752.1","1.42M","1.90%"
"Aug 20, 2021","2,748.6","2,720.0","2,751.1","2,705.0","1.56M","1.29%"
"Aug 19, 2021","2,713.6","2,688.7","2,727.1","2,685.0","1.08M","0.17%"
"Aug 18, 2021","2,709.0","2,730.0","2,742.1","2,706.4","955.99K","-0.89%"
"Aug 17, 2021","2,733.2","2,755.0","2,765.3","2,721.6","1.02M","-1.19%"
"Aug 16, 2021","2,766.2","2,750.5","2,767.3","2,706.0","1.12M","0.42%"
"Aug 13, 2021","2,754.6","2,745.0","2,757.1","2,740.7","797.37K","0.39%"
"Aug 12, 2021","2,743.9","2,719.5","2,746.0","2,708.5","823.88K","0.67%"
"Aug 11, 2021","2,725.6","2,743.6","2,753.6","2,725.4","764.98K","-0.38%"
"Aug 10, 2021","2,736.1","2,746.0","2,755.0","2,727.8","970.70K","-0.08%"
"Aug 09, 2021","2,738.3","2,720.0","2,743.3","2,706.8","888.30K","0.87%"
"Aug 06, 2021","2,714.8","2,720.8","2,729.4","2,704.2","1.02M","-0.38%"
"Aug 05, 2021","2,725.0","2,710.0","2,726.9","2,698.4","893.45K","0.83%"
"Aug 04, 2021","2,702.5","2,713.0","2,713.0","2,690.0","983.80K","-0.37%"
"Aug 03, 2021","2,712.6","2,703.9","2,713.3","2,668.3","1.04M","0.57%"
"Aug 02, 2021","2,697.1","2,705.8","2,705.8","2,677.1","1.08M","0.10%"
