"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 13, 2021","14,571.6","14,537.2","14,589.3","14,471.9","760.21M","0.73%"
"Oct 12, 2021","14,465.9","14,539.1","14,552.7","14,441.6","768.40M","-0.14%"
"Oct 11, 2021","14,486.2","14,540.1","14,666.0","14,482.6","664.49M","-0.64%"
"Oct 08, 2021","14,579.5","14,694.7","14,699.9","14,569.7","670.94M","-0.51%"
"Oct 07, 2021","14,654.0","14,631.8","14,755.7","14,615.1","798.16M","1.05%"
"Oct 06, 2021","14,501.9","14,289.4","14,509.5","14,259.1","817.53M","0.47%"
"Oct 05, 2021","14,433.8","14,312.9","14,508.6","14,299.8","805.23M","1.25%"
"Oct 04, 2021","14,255.5","14,493.1","14,499.7","14,181.7","920.43M","-2.14%"
"Oct 01, 2021","14,566.7","14,494.9","14,606.8","14,324.0","913.08M","0.82%"
"Sep 30, 2021","14,448.6","14,582.6","14,632.4","14,444.3","1.14B","-0.44%"
"Sep 29, 2021","14,512.4","14,614.9","14,676.6","14,493.7","980.97M","-0.24%"
"Sep 28, 2021","14,546.7","14,787.2","14,817.7","14,539.9","996.26M","-2.83%"
"Sep 27, 2021","14,970.0","14,954.2","15,003.2","14,865.0","894.61M","-0.52%"
"Sep 24, 2021","15,047.7","14,961.6","15,067.6","14,946.6","773.44M","-0.03%"
"Sep 23, 2021","15,052.2","14,960.0","15,085.4","14,932.5","788.23M","1.04%"
"Sep 22, 2021","14,896.8","14,800.6","14,950.1","14,767.0","831.12M","1.02%"
"Sep 21, 2021","14,746.4","14,803.4","14,847.0","14,696.5","873.64M","0.22%"
"Sep 20, 2021","14,713.9","14,758.1","14,841.8","14,530.1","1.10B","-2.19%"
"Sep 17, 2021","15,044.0","15,163.4","15,166.6","14,998.7","2.75B","-0.91%"
"Sep 16, 2021","15,181.9","15,120.1","15,205.5","15,047.1","833.07M","0.13%"
"Sep 15, 2021","15,161.5","15,071.3","15,174.4","14,984.7","987.75M","0.82%"
"Sep 14, 2021","15,037.8","15,168.4","15,181.2","15,008.3","884.51M","-0.45%"
"Sep 13, 2021","15,105.6","15,211.4","15,215.4","15,030.9","943.77M","-0.07%"
"Sep 10, 2021","15,115.5","15,332.9","15,349.5","15,111.3","889.08M","-0.87%"
"Sep 09, 2021","15,248.3","15,296.1","15,352.4","15,245.2","793.92M","-0.25%"
"Sep 08, 2021","15,286.6","15,360.3","15,360.3","15,206.6","799.13M","-0.57%"
"Sep 07, 2021","15,374.3","15,376.0","15,403.4","15,343.3","813.76M","0.07%"
"Sep 03, 2021","15,363.5","15,313.4","15,375.6","15,283.7","713.30M","0.21%"
"Sep 02, 2021","15,331.2","15,358.5","15,380.1","15,285.3","771.82M","0.14%"
"Sep 01, 2021","15,309.4","15,309.0","15,379.5","15,302.1","836.30M","0.33%"
"Aug 31, 2021","15,259.2","15,262.9","15,279.0","15,202.7","981.94M","-0.04%"
"Aug 30, 2021","15,265.9","15,165.9","15,288.1","15,165.1","807.58M","0.90%"
"Aug 27, 2021","15,129.5","14,969.8","15,144.5","14,966.5","857.20M","1.23%"
"Aug 26, 2021","14,945.8","15,025.2","15,059.6","14,939.6","698.67M","-0.64%"
"Aug 25, 2021","15,041.9","15,039.0","15,059.4","15,011.6","760.11M","0.15%"
"Aug 24, 2021","15,019.8","14,978.1","15,034.9","14,965.5","737.23M","0.52%"
"Aug 23, 2021","14,942.7","14,777.0","14,963.5","14,777.0","782.67M","1.55%"
"Aug 20, 2021","14,714.7","14,571.5","14,722.2","14,571.5","828.73M","1.19%"
"Aug 19, 2021","14,541.8","14,423.2","14,610.8","14,423.2","841.84M","0.11%"
"Aug 18, 2021","14,525.9","14,636.2","14,697.3","14,516.3","764.92M","-0.89%"
"Aug 17, 2021","14,656.2","14,670.6","14,716.9","14,550.9","797.61M","-0.93%"
"Aug 16, 2021","14,793.8","14,771.5","14,794.7","14,610.0","774.04M","-0.20%"
"Aug 13, 2021","14,822.9","14,825.1","14,850.6","14,797.2","774.68M","0.04%"
"Aug 12, 2021","14,816.3","14,751.4","14,824.3","14,698.9","783.88M","0.35%"
"Aug 11, 2021","14,765.1","14,834.4","14,842.5","14,692.4","787.41M","-0.16%"
"Aug 10, 2021","14,788.1","14,887.7","14,894.6","14,754.5","781.07M","-0.49%"
"Aug 09, 2021","14,860.2","14,855.8","14,883.8","14,802.7","801.12M","0.16%"
"Aug 06, 2021","14,835.8","14,864.2","14,890.2","14,788.6","817.60M","-0.40%"
"Aug 05, 2021","14,895.1","14,794.1","14,896.5","14,776.0","842.72M","0.78%"
"Aug 04, 2021","14,780.5","14,747.2","14,812.4","14,734.1","875.56M","0.13%"
"Aug 03, 2021","14,761.3","14,714.0","14,762.6","14,584.1","831.95M","0.55%"
"Aug 02, 2021","14,681.1","14,758.6","14,770.4","14,665.7","752.76M","0.06%"
